needs,fixer,scout,chief,teambuilder,investigator
referrals,0.1,,0.1,,
structured_approach,,,,,0.4
flexible_pool,,0.1,,,
quick_fix,0.4,0.1,,,
background_information,,,,,0.1
avoid_risks,0.1,,,,
relevant_criteria,,,,,0.2
promote_values,,,0.1,,
standing_out,,0.2,,,
multiple_views,,,-1,,0.1
reality_check,,,0.2,,0.1
team_fit,,,,0.4,
abundance_of_choice,,0.4,,,
maximise_efficiency,0.4,0.2,,-1,
recommendations,,,,0.1,
sincerity,,,0.2,,
passionate_people,,,,0.2,
shared_values,,,,0.2,
following_instinct,,,,0.1,-1
control_decision,,,0.4,,
best_fit,-1,-1,,,0.1
