need,shortcutter,survivor,dreamer,prepared,perfect,believer
survive,,0.4,-1,,,-1
escape,,,0.4,,,
quick_process,0.4,,,-1,,
getting_inspired,,,0.2,,,
structured_process,,,,0.2,,
boost_my_cv,,-1,,,0.1,
quick_scan,,,0.1,,,
prove_to_self,-1,,,0.05,,
compare_options,,,,0.1,,
rich_data,,,,,0.2,
unbiased_information,0.1,,,,,
dry_data,0.2,,,,-1,
clear_job_information,0.1,,,,,
human_verification,,,,,,0.2
head_start,,,,0.3,,
treated_with_respect,,,0.1,,,
standing_out,,,,,0.4,
present_real_me,,,,,,0.1
manage_insecurity,,,0.1,0.05,,
being_informed,,0.1,,0.1,,
learn_from_process,,,,0.2,,
values,,,,,,0.3
money,0.2,0.4,,,,
stability,,0.1,,,,
atmosphere,,,,,,0.2
balance,,,0.1,,,
happiness,,,,,,0.1
development,,,,,0.2,
promotion,,,,,0.1,
freedom,,,,,,0.1
